project,issue type,issue_status,issue_num,user_name,datetime,comment type,related_issue,issue_url,,,
photonix,Display,Open,#230,damianmoore,18-Apr-21,Modified,,https://github.com/photonixapp/photonix/issues/230,,,
photonix,Display,Open,#230,damianmoore,18-Apr-21,Modified,,https://github.com/photonixapp/photonix/issues/230,,,
photonix,Display,Open,#230,damianmoore,18-Apr-21,Modified,,https://github.com/photonixapp/photonix/issues/230,,,
photonix,Display,Open,#230,damianmoore,25-May-21,Modified,,https://github.com/photonixapp/photonix/issues/230,,,
photonix,Display,Open,#230,GyanP,28-Jun-21,Modified,,https://github.com/photonixapp/photonix/issues/230,,,
photonix,Display,Open,#209,damianmoore,22-Mar-21,Commented,,https://github.com/photonixapp/photonix/issues/209,,,
photonix,Display,Open,#209,damianmoore,22-Mar-21,Modified,,https://github.com/photonixapp/photonix/issues/209,,,
photonix,Display,Open,#37,damianmoore,2-Jan-19,Commented,,https://github.com/photonixapp/photonix/issues/37,,,
photonix,Display,Open,#37,damianmoore,2-Jan-19,Modified,,https://github.com/photonixapp/photonix/issues/37,,,
photonix,Layout,Open,#10,damianmoore,29-Dec-18,Commented,,https://github.com/photonixapp/photonix/issues/10,,,
photonix,Layout,Open,#10,damianmoore,29-Dec-18,Modified,,https://github.com/photonixapp/photonix/issues/10,,,
photonix,Functional,Open,#49,damianmoore,6-Jan-19,Commented,,https://github.com/photonixapp/photonix/issues/49,,,
photonix,Functional,Open,#49,damianmoore,6-Jan-19,Modified,,https://github.com/photonixapp/photonix/issues/49,,,
photonix,Functional,Open,#49,damianmoore,7-Jan-19,Modified,,https://github.com/photonixapp/photonix/issues/49,,,
rasa,Display,Open,#10474,Horizon733,6-Dec-21,Commented,,https://github.com/RasaHQ/rasa/issues/10474,,,
rasa,Display,Open,#10474,sara-tagger,7-Dec-21,Commented,,https://github.com/RasaHQ/rasa/issues/10474,,,
rasa,Display,Open,#10474,Horizon733,6-Dec-21,Modified,,https://github.com/RasaHQ/rasa/issues/10474,,,
rasa,Display,Open,#10474,rasabot-exalate,15-Mar-22,Modified,,https://github.com/RasaHQ/rasa/issues/10474,,,
rasa,Display,Open,#10474,rasabot,16-Mar-22,Modified,,https://github.com/RasaHQ/rasa/issues/10474,,,
rasa,Display,Open,#10474,rasabot-exalate,17-Mar-22,Modified,,https://github.com/RasaHQ/rasa/issues/10474,,,
rasa,Functional,Open,#10820,TimWaWIT,7-Feb-22,Commented,,https://github.com/RasaHQ/rasa/issues/10820,,,
rasa,Functional,Open,#10820,sara-tagger,7-Feb-22,Commented,,https://github.com/RasaHQ/rasa/issues/10820,,,
rasa,Functional,Open,#10820,TimWaWIT,4-Mar-22,Commented,,https://github.com/RasaHQ/rasa/issues/10820,,,
